timestamp_start,timestamp_end,flow_key,src_ports,dst_ports,packet_count,tcp_flags_pattern,label
2025-01-05 11:21:51.359941,2025-01-05 11:21:51.359947,"('172.31.0.1', '172.31.0.2', '732', '34596', 'TCP')","['732', '34596']","['732', '34596']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.359971,2025-01-05 11:21:51.359977,"('172.31.0.1', '172.31.0.2', '1722', '50560', 'TCP')","['50560', '1722']","['50560', '1722']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360000,2025-01-05 11:21:51.360006,"('172.31.0.1', '172.31.0.2', '1834', '58512', 'TCP')","['1834', '58512']","['1834', '58512']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360029,2025-01-05 11:21:51.360035,"('172.31.0.1', '172.31.0.2', '1323', '42712', 'TCP')","['42712', '1323']","['42712', '1323']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360058,2025-01-05 11:21:51.360064,"('172.31.0.1', '172.31.0.2', '1676', '34968', 'TCP')","['34968', '1676']","['34968', '1676']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360087,2025-01-05 11:21:51.360094,"('172.31.0.1', '172.31.0.2', '4907', '40914', 'TCP')","['40914', '4907']","['40914', '4907']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360116,2025-01-05 11:21:51.360122,"('172.31.0.1', '172.31.0.2', '2147', '46026', 'TCP')","['46026', '2147']","['46026', '2147']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360146,2025-01-05 11:21:51.360152,"('172.31.0.1', '172.31.0.2', '2807', '60948', 'TCP')","['60948', '2807']","['60948', '2807']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360175,2025-01-05 11:21:51.360181,"('172.31.0.1', '172.31.0.2', '1993', '54350', 'TCP')","['1993', '54350']","['1993', '54350']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360205,2025-01-05 11:21:51.360210,"('172.31.0.1', '172.31.0.2', '2303', '57638', 'TCP')","['57638', '2303']","['2303', '57638']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360234,2025-01-05 11:21:51.360240,"('172.31.0.1', '172.31.0.2', '2722', '53706', 'TCP')","['53706', '2722']","['53706', '2722']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360263,2025-01-05 11:21:51.360269,"('172.31.0.1', '172.31.0.2', '3747', '43416', 'TCP')","['43416', '3747']","['43416', '3747']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360292,2025-01-05 11:21:51.360298,"('172.31.0.1', '172.31.0.2', '1440', '60974', 'TCP')","['1440', '60974']","['1440', '60974']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360321,2025-01-05 11:21:51.360327,"('172.31.0.1', '172.31.0.2', '1582', '38508', 'TCP')","['1582', '38508']","['1582', '38508']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360350,2025-01-05 11:21:51.360356,"('172.31.0.1', '172.31.0.2', '4653', '47980', 'TCP')","['47980', '4653']","['47980', '4653']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360379,2025-01-05 11:21:51.360385,"('172.31.0.1', '172.31.0.2', '3689', '49682', 'TCP')","['3689', '49682']","['3689', '49682']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360408,2025-01-05 11:21:51.360414,"('172.31.0.1', '172.31.0.2', '1044', '56362', 'TCP')","['56362', '1044']","['56362', '1044']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360437,2025-01-05 11:21:51.360444,"('172.31.0.1', '172.31.0.2', '4560', '54534', 'TCP')","['4560', '54534']","['4560', '54534']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360468,2025-01-05 11:21:51.360473,"('172.31.0.1', '172.31.0.2', '2485', '51098', 'TCP')","['2485', '51098']","['2485', '51098']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360497,2025-01-05 11:21:51.360503,"('172.31.0.1', '172.31.0.2', '1975', '33112', 'TCP')","['1975', '33112']","['1975', '33112']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360526,2025-01-05 11:21:51.360533,"('172.31.0.1', '172.31.0.2', '4281', '56494', 'TCP')","['56494', '4281']","['56494', '4281']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360555,2025-01-05 11:21:51.360562,"('172.31.0.1', '172.31.0.2', '3192', '40768', 'TCP')","['3192', '40768']","['3192', '40768']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360584,2025-01-05 11:21:51.360591,"('172.31.0.1', '172.31.0.2', '3142', '42190', 'TCP')","['42190', '3142']","['42190', '3142']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360614,2025-01-05 11:21:51.360620,"('172.31.0.1', '172.31.0.2', '3135', '41728', 'TCP')","['3135', '41728']","['3135', '41728']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360644,2025-01-05 11:21:51.360649,"('172.31.0.1', '172.31.0.2', '36', '45572', 'TCP')","['45572', '36']","['45572', '36']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360673,2025-01-05 11:21:51.360679,"('172.31.0.1', '172.31.0.2', '352', '48914', 'TCP')","['352', '48914']","['352', '48914']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360702,2025-01-05 11:21:51.360708,"('172.31.0.1', '172.31.0.2', '624', '43094', 'TCP')","['624', '43094']","['624', '43094']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360731,2025-01-05 11:21:51.360738,"('172.31.0.1', '172.31.0.2', '1688', '41146', 'TCP')","['1688', '41146']","['1688', '41146']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360760,2025-01-05 11:21:51.360766,"('172.31.0.1', '172.31.0.2', '1402', '39166', 'TCP')","['1402', '39166']","['1402', '39166']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360789,2025-01-05 11:21:51.360795,"('172.31.0.1', '172.31.0.2', '4717', '54146', 'TCP')","['4717', '54146']","['4717', '54146']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360822,2025-01-05 11:21:51.360828,"('172.31.0.1', '172.31.0.2', '4979', '32914', 'TCP')","['32914', '4979']","['32914', '4979']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360850,2025-01-05 11:21:51.360857,"('172.31.0.1', '172.31.0.2', '1818', '46166', 'TCP')","['1818', '46166']","['1818', '46166']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.360881,2025-01-05 11:21:51.360887,"('172.31.0.1', '172.31.0.2', '881', '47566', 'TCP')","['881', '47566']","['881', '47566']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.361038,2025-01-05 11:21:51.361043,"('172.31.0.1', '172.31.0.2', '765', '42852', 'TCP')","['765', '42852']","['765', '42852']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.361067,2025-01-05 11:21:51.361073,"('172.31.0.1', '172.31.0.2', '2182', '33832', 'TCP')","['33832', '2182']","['33832', '2182']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.361099,2025-01-05 11:21:51.361106,"('172.31.0.1', '172.31.0.2', '1318', '49324', 'TCP')","['49324', '1318']","['49324', '1318']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.361129,2025-01-05 11:21:51.361135,"('172.31.0.1', '172.31.0.2', '4696', '40200', 'TCP')","['40200', '4696']","['40200', '4696']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.361158,2025-01-05 11:21:51.361165,"('172.31.0.1', '172.31.0.2', '984', '44390', 'TCP')","['44390', '984']","['44390', '984']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.361189,2025-01-05 11:21:51.361195,"('172.31.0.1', '172.31.0.2', '2198', '59236', 'TCP')","['2198', '59236']","['2198', '59236']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.361218,2025-01-05 11:21:51.361225,"('172.31.0.1', '172.31.0.2', '4596', '37736', 'TCP')","['37736', '4596']","['37736', '4596']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.361249,2025-01-05 11:21:51.361255,"('172.31.0.1', '172.31.0.2', '3340', '37378', 'TCP')","['3340', '37378']","['3340', '37378']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
