start_time,end_time,duration,src_ip,dst_ip,src_port,dst_port,SYN,ACK,FIN,RST,URG,PSH,vertical_scan,horizontal_scan,label
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.177722,2.4e-05,172.31.0.1,172.31.0.2,4382,60644,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.177747,2.5e-05,172.31.0.1,172.31.0.2,1203,38388,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.177769,2.2e-05,172.31.0.1,172.31.0.2,4225,60062,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.177794,2.5e-05,172.31.0.1,172.31.0.2,4804,56310,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.177819,2.5e-05,172.31.0.1,172.31.0.2,299,48376,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.177844,2.5e-05,172.31.0.1,172.31.0.2,4897,50916,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.177870,2.6e-05,172.31.0.1,172.31.0.2,4874,37098,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.177904,3.4e-05,172.31.0.1,172.31.0.2,3046,36898,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.177928,2.4e-05,172.31.0.1,172.31.0.2,2453,59620,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.177953,2.5e-05,172.31.0.1,172.31.0.2,4836,35452,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.177976,2.3e-05,172.31.0.1,172.31.0.2,77,33762,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.177999,2.3e-05,172.31.0.1,172.31.0.2,842,36212,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178023,2.4e-05,172.31.0.1,172.31.0.2,4346,49908,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178048,2.5e-05,172.31.0.1,172.31.0.2,326,33972,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178073,2.5e-05,172.31.0.1,172.31.0.2,4910,38318,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178097,2.4e-05,172.31.0.1,172.31.0.2,2741,42874,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178121,2.4e-05,172.31.0.1,172.31.0.2,777,52892,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178142,2.1e-05,172.31.0.1,172.31.0.2,1235,55986,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178166,2.4e-05,172.31.0.1,172.31.0.2,2493,49102,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178190,2.4e-05,172.31.0.1,172.31.0.2,3516,42204,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178212,2.2e-05,172.31.0.1,172.31.0.2,1894,38970,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178236,2.4e-05,172.31.0.1,172.31.0.2,1608,51362,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178261,2.5e-05,172.31.0.1,172.31.0.2,2706,44338,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178285,2.4e-05,172.31.0.1,172.31.0.2,2339,35914,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178308,2.3e-05,172.31.0.1,172.31.0.2,2691,41550,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178332,2.4e-05,172.31.0.1,172.31.0.2,2327,37260,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178356,2.4e-05,172.31.0.1,172.31.0.2,3833,36624,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178380,2.4e-05,172.31.0.1,172.31.0.2,3414,50848,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178403,2.3e-05,172.31.0.1,172.31.0.2,1731,40082,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178427,2.4e-05,172.31.0.1,172.31.0.2,1828,55922,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178451,2.4e-05,172.31.0.1,172.31.0.2,12,39340,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178475,2.4e-05,172.31.0.1,172.31.0.2,460,50826,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178503,2.8e-05,172.31.0.1,172.31.0.2,227,38374,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178527,2.4e-05,172.31.0.1,172.31.0.2,3655,49164,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178692,0.000165,172.31.0.1,172.31.0.2,72,38080,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178716,2.4e-05,172.31.0.1,172.31.0.2,1842,33238,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178741,2.5e-05,172.31.0.1,172.31.0.2,4412,56316,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178764,2.3e-05,172.31.0.1,172.31.0.2,811,52796,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178788,2.4e-05,172.31.0.1,172.31.0.2,1199,34982,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178813,2.5e-05,172.31.0.1,172.31.0.2,4238,59246,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178837,2.4e-05,172.31.0.1,172.31.0.2,4486,56700,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178860,2.3e-05,172.31.0.1,172.31.0.2,2713,44672,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178884,2.4e-05,172.31.0.1,172.31.0.2,817,60802,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178908,2.4e-05,172.31.0.1,172.31.0.2,2994,58580,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178931,2.3e-05,172.31.0.1,172.31.0.2,1325,57772,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178954,2.3e-05,172.31.0.1,172.31.0.2,911,42724,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.178990,3.6e-05,172.31.0.1,172.31.0.2,4789,53004,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179018,2.8e-05,172.31.0.1,172.31.0.2,3451,40560,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179043,2.5e-05,172.31.0.1,172.31.0.2,1574,43016,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179066,2.3e-05,172.31.0.1,172.31.0.2,1421,42328,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179091,2.5e-05,172.31.0.1,172.31.0.2,2180,54596,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179114,2.3e-05,172.31.0.1,172.31.0.2,3694,60754,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179137,2.3e-05,172.31.0.1,172.31.0.2,1903,59950,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179161,2.4e-05,172.31.0.1,172.31.0.2,2893,57100,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179184,2.3e-05,172.31.0.1,172.31.0.2,341,42622,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179208,2.4e-05,172.31.0.1,172.31.0.2,458,57962,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179232,2.4e-05,172.31.0.1,172.31.0.2,2837,60300,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179258,2.6e-05,172.31.0.1,172.31.0.2,1130,48910,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179284,2.6e-05,172.31.0.1,172.31.0.2,794,47930,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179308,2.4e-05,172.31.0.1,172.31.0.2,2675,60886,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179332,2.4e-05,172.31.0.1,172.31.0.2,1818,34966,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179356,2.4e-05,172.31.0.1,172.31.0.2,1498,53808,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179379,2.3e-05,172.31.0.1,172.31.0.2,1134,48046,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179404,2.5e-05,172.31.0.1,172.31.0.2,2236,34942,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179427,2.3e-05,172.31.0.1,172.31.0.2,2027,55132,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179452,2.5e-05,172.31.0.1,172.31.0.2,280,48836,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179475,2.3e-05,172.31.0.1,172.31.0.2,1103,44068,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179499,2.4e-05,172.31.0.1,172.31.0.2,331,46736,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179524,2.5e-05,172.31.0.1,172.31.0.2,819,35620,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179547,2.3e-05,172.31.0.1,172.31.0.2,2722,49358,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179570,2.3e-05,172.31.0.1,172.31.0.2,1616,37198,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179599,2.9e-05,172.31.0.1,172.31.0.2,3930,60172,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179624,2.5e-05,172.31.0.1,172.31.0.2,3407,37776,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179648,2.4e-05,172.31.0.1,172.31.0.2,3872,49764,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179672,2.4e-05,172.31.0.1,172.31.0.2,156,55430,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179696,2.4e-05,172.31.0.1,172.31.0.2,357,33482,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179720,2.4e-05,172.31.0.1,172.31.0.2,1887,44304,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179744,2.4e-05,172.31.0.1,172.31.0.2,3060,43570,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179768,2.4e-05,172.31.0.1,172.31.0.2,838,50622,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179792,2.4e-05,172.31.0.1,172.31.0.2,3600,49028,0,1,0,1,0,0,1,0,1
