start_request_time,end_request_time,start_response_time,end_response_time,duration,src_ip,dst_ip,src_port,dst_port,SYN,ACK,FIN,RST,URG,PSH
2025-01-08 13:15:57.600750,2025-01-08 13:15:57.600750,2025-01-08 13:15:57.600757,2025-01-08 13:15:57.600757,7e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '25']","['34011', '25']",1,1,0,1,0,0
2025-01-08 13:15:57.600767,2025-01-08 13:15:57.600767,2025-01-08 13:15:57.600773,2025-01-08 13:15:57.600773,6e-06,['127.0.0.1'],['127.0.0.1'],"['21', '34011']","['21', '34011']",1,1,0,1,0,0
2025-01-08 13:15:57.600783,2025-01-08 13:15:57.600783,2025-01-08 13:15:57.600790,2025-01-08 13:15:57.600790,7e-06,['127.0.0.1'],['127.0.0.1'],"['23', '34011']","['23', '34011']",1,1,0,1,0,0
2025-01-08 13:15:57.600801,2025-01-08 13:15:57.600801,2025-01-08 13:15:57.600806,2025-01-08 13:15:57.600806,5e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '12']","['34011', '12']",1,1,0,1,0,0
2025-01-08 13:15:57.600817,2025-01-08 13:15:57.600817,2025-01-08 13:15:57.600822,2025-01-08 13:15:57.600822,5e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '50']","['34011', '50']",1,1,0,1,0,0
2025-01-08 13:15:57.600833,2025-01-08 13:15:57.600833,2025-01-08 13:15:57.600839,2025-01-08 13:15:57.600839,6e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '26']","['34011', '26']",1,1,0,1,0,0
2025-01-08 13:15:57.600849,2025-01-08 13:15:57.600849,2025-01-08 13:15:57.600854,2025-01-08 13:15:57.600854,5e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '37']","['34011', '37']",1,1,0,1,0,0
2025-01-08 13:15:57.600864,2025-01-08 13:15:57.600864,2025-01-08 13:15:57.600869,2025-01-08 13:15:57.600869,5e-06,['127.0.0.1'],['127.0.0.1'],"['16', '34011']","['16', '34011']",1,1,0,1,0,0
2025-01-08 13:15:57.600883,2025-01-08 13:15:57.600883,2025-01-08 13:15:57.600888,2025-01-08 13:15:57.600888,5e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '45']","['34011', '45']",1,1,0,1,0,0
2025-01-08 13:15:57.601101,2025-01-08 13:15:57.601101,2025-01-08 13:15:57.601107,2025-01-08 13:15:57.601107,6e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '29']","['34011', '29']",1,1,0,1,0,0
