start_request_time,end_request_time,start_response_time,end_response_time,duration,src_ip,dst_ip,src_port,dst_port,SYN,ACK,FIN,RST,URG,PSH,label
2025-01-08 16:02:27.278119,2025-01-08 16:02:27.278119,2025-01-08 16:02:27.278125,2025-01-08 16:02:27.278125,6e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['46', '37124']","['46', '37124']",1,1,0,1,0,0,0
2025-01-08 16:02:27.278507,2025-01-08 16:02:27.278507,2025-01-08 16:02:27.278514,2025-01-08 16:02:27.278514,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['47', '45472']","['47', '45472']",1,1,0,1,0,0,0
2025-01-08 16:02:27.279029,2025-01-08 16:02:27.279029,2025-01-08 16:02:27.279037,2025-01-08 16:02:27.279037,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['48', '50972']","['48', '50972']",1,1,0,1,0,0,0
2025-01-08 16:02:27.279435,2025-01-08 16:02:27.279435,2025-01-08 16:02:27.279443,2025-01-08 16:02:27.279443,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['41378', '49']","['41378', '49']",1,1,0,1,0,0,0
2025-01-08 16:02:27.279834,2025-01-08 16:02:27.279834,2025-01-08 16:02:27.279841,2025-01-08 16:02:27.279841,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['52206', '50']","['52206', '50']",1,1,0,1,0,0,0
2025-01-08 16:02:27.280232,2025-01-08 16:02:27.280232,2025-01-08 16:02:27.280239,2025-01-08 16:02:27.280239,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['51', '60432']","['51', '60432']",1,1,0,1,0,0,0
2025-01-08 16:02:27.280631,2025-01-08 16:02:27.280631,2025-01-08 16:02:27.280639,2025-01-08 16:02:27.280639,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['45752', '52']","['45752', '52']",1,1,0,1,0,0,0
2025-01-08 16:02:27.281032,2025-01-08 16:02:27.281032,2025-01-08 16:02:27.281039,2025-01-08 16:02:27.281039,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['53', '36546']","['53', '36546']",1,1,0,1,0,0,0
2025-01-08 16:02:27.281578,2025-01-08 16:02:27.281578,2025-01-08 16:02:27.281586,2025-01-08 16:02:27.281586,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['54', '38374']","['54', '38374']",1,1,0,1,0,0,0
2025-01-08 16:02:27.281970,2025-01-08 16:02:27.281970,2025-01-08 16:02:27.281977,2025-01-08 16:02:27.281977,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['40926', '55']","['40926', '55']",1,1,0,1,0,0,0
2025-01-08 16:02:27.282368,2025-01-08 16:02:27.282368,2025-01-08 16:02:27.282376,2025-01-08 16:02:27.282376,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['56', '37102']","['56', '37102']",1,1,0,1,0,0,0
2025-01-08 16:02:27.282757,2025-01-08 16:02:27.282757,2025-01-08 16:02:27.282765,2025-01-08 16:02:27.282765,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['34684', '57']","['34684', '57']",1,1,0,1,0,0,0
2025-01-08 16:02:27.283144,2025-01-08 16:02:27.283144,2025-01-08 16:02:27.283152,2025-01-08 16:02:27.283152,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['58', '52410']","['58', '52410']",1,1,0,1,0,0,0
2025-01-08 16:02:27.283659,2025-01-08 16:02:27.283659,2025-01-08 16:02:27.283667,2025-01-08 16:02:27.283667,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['59', '54096']","['59', '54096']",1,1,0,1,0,0,0
2025-01-08 16:02:27.284064,2025-01-08 16:02:27.284064,2025-01-08 16:02:27.284072,2025-01-08 16:02:27.284072,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['60', '38238']","['60', '38238']",1,1,0,1,0,0,0
2025-01-08 16:02:27.284449,2025-01-08 16:02:27.284449,2025-01-08 16:02:27.284456,2025-01-08 16:02:27.284456,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['51506', '61']","['61', '51506']",1,1,0,1,0,0,0
2025-01-08 16:02:27.284837,2025-01-08 16:02:27.284837,2025-01-08 16:02:27.284844,2025-01-08 16:02:27.284844,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['62', '52568']","['62', '52568']",1,1,0,1,0,0,0
2025-01-08 16:02:27.285223,2025-01-08 16:02:27.285223,2025-01-08 16:02:27.285230,2025-01-08 16:02:27.285230,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['63', '58018']","['63', '58018']",1,1,0,1,0,0,0
2025-01-08 16:02:27.285607,2025-01-08 16:02:27.285607,2025-01-08 16:02:27.285614,2025-01-08 16:02:27.285614,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['51154', '64']","['51154', '64']",1,1,0,1,0,0,0
2025-01-08 16:02:27.286147,2025-01-08 16:02:27.286147,2025-01-08 16:02:27.286155,2025-01-08 16:02:27.286155,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['44454', '65']","['44454', '65']",1,1,0,1,0,0,0
2025-01-08 16:02:27.286575,2025-01-08 16:02:27.286575,2025-01-08 16:02:27.286582,2025-01-08 16:02:27.286582,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['60142', '66']","['60142', '66']",1,1,0,1,0,0,0
2025-01-08 16:02:27.286982,2025-01-08 16:02:27.286982,2025-01-08 16:02:27.286990,2025-01-08 16:02:27.286990,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['50022', '67']","['50022', '67']",1,1,0,1,0,0,0
2025-01-08 16:02:27.287393,2025-01-08 16:02:27.287393,2025-01-08 16:02:27.287401,2025-01-08 16:02:27.287401,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['68', '36092']","['68', '36092']",1,1,0,1,0,0,0
2025-01-08 16:02:27.287789,2025-01-08 16:02:27.287789,2025-01-08 16:02:27.287797,2025-01-08 16:02:27.287797,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['69', '43978']","['69', '43978']",1,1,0,1,0,0,0
2025-01-08 16:02:27.288198,2025-01-08 16:02:27.288198,2025-01-08 16:02:27.288206,2025-01-08 16:02:27.288206,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['41412', '70']","['41412', '70']",1,1,0,1,0,0,0
2025-01-08 16:02:27.288735,2025-01-08 16:02:27.288735,2025-01-08 16:02:27.288743,2025-01-08 16:02:27.288743,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['71', '47518']","['71', '47518']",1,1,0,1,0,0,0
2025-01-08 16:02:27.289137,2025-01-08 16:02:27.289137,2025-01-08 16:02:27.289145,2025-01-08 16:02:27.289145,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['49886', '72']","['49886', '72']",1,1,0,1,0,0,0
2025-01-08 16:02:27.289553,2025-01-08 16:02:27.289553,2025-01-08 16:02:27.289560,2025-01-08 16:02:27.289560,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['36200', '73']","['73', '36200']",1,1,0,1,0,0,0
2025-01-08 16:02:27.289960,2025-01-08 16:02:27.289960,2025-01-08 16:02:27.289968,2025-01-08 16:02:27.289968,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['74', '35702']","['74', '35702']",1,1,0,1,0,0,0
2025-01-08 16:02:27.290351,2025-01-08 16:02:27.290351,2025-01-08 16:02:27.290356,2025-01-08 16:02:27.290356,5e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['47852', '75']","['47852', '75']",1,1,0,1,0,0,0
2025-01-08 16:02:27.290868,2025-01-08 16:02:27.290868,2025-01-08 16:02:27.290876,2025-01-08 16:02:27.290876,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['44956', '76']","['44956', '76']",1,1,0,1,0,0,0
2025-01-08 16:02:27.291268,2025-01-08 16:02:27.291268,2025-01-08 16:02:27.291276,2025-01-08 16:02:27.291276,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['77', '50954']","['77', '50954']",1,1,0,1,0,0,0
2025-01-08 16:02:27.291690,2025-01-08 16:02:27.291690,2025-01-08 16:02:27.291698,2025-01-08 16:02:27.291698,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['49880', '78']","['49880', '78']",1,1,0,1,0,0,0
2025-01-08 16:02:27.292079,2025-01-08 16:02:27.292079,2025-01-08 16:02:27.292087,2025-01-08 16:02:27.292087,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['39416', '79']","['39416', '79']",1,1,0,1,0,0,0
2025-01-08 16:02:27.292477,2025-01-08 16:02:27.292477,2025-01-08 16:02:27.292485,2025-01-08 16:02:27.292485,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['80', '48844']","['80', '48844']",1,1,0,1,0,0,0
2025-01-08 16:02:27.292895,2025-01-08 16:02:27.292895,2025-01-08 16:02:27.292902,2025-01-08 16:02:27.292902,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['36898', '81']","['81', '36898']",1,1,0,1,0,0,0
